date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-04-28,0.0,0.0,5673.0,164.0,698.0,663.0,1573.0
2017-04-29,290.0,19.0,2010.0,96.0,0.0,508.0,527.0
2017-04-30,80.0,257.0,2724.0,106.0,236.0,1066.0,633.0
2017-05-01,0.0,155.0,0.0,847.0,1.0,0.0,362.0
2017-05-02,14.0,620.0,1559.0,526.0,236.0,0.0,479.0
2017-05-03,113.0,399.0,2666.0,340.0,208.0,0.0,250.0
2017-05-04,107.0,500.0,4416.0,966.0,240.0,696.0,314.0
2017-05-05,0.0,623.0,228.0,72.0,1664.0,333.0,128.0
2017-05-06,183.0,798.0,595.0,96.0,1695.0,0.0,90.0
2017-05-07,651.0,706.0,1823.0,996.0,1052.0,192.0,452.0
2017-05-08,56.0,77.0,3230.0,1436.0,0.0,2124.0,372.0
2017-05-09,0.0,160.0,1631.0,347.0,0.0,338.0,99.0
2017-05-10,374.0,296.0,1873.0,560.0,152.0,698.0,615.0
2017-05-11,34.0,1973.0,509.0,341.0,351.0,42.0,534.0
2017-05-12,256.0,471.0,792.0,335.0,164.0,74.0,190.0
2017-05-13,0.0,55.0,5186.0,1638.0,1148.0,286.0,12.0
2017-05-14,696.0,445.0,3105.0,497.0,4.0,408.0,586.0
2017-05-15,127.0,137.0,3607.0,0.0,0.0,552.0,148.0
2017-05-16,22.0,137.0,3097.0,361.0,189.0,107.0,223.0
2017-05-17,50.0,116.0,1202.0,621.0,624.0,1351.0,900.0
2017-05-18,89.0,63.0,3674.0,582.0,110.0,0.0,219.0
2017-05-19,729.0,620.0,3037.0,137.0,0.0,1803.0,317.0
2017-05-20,0.0,109.0,863.0,0.0,0.0,38.0,141.0
2017-05-21,0.0,74.0,3266.0,0.0,828.0,158.0,147.0
2017-05-22,102.0,48.0,1112.0,288.0,1136.0,2997.0,172.0
2017-05-23,35.0,399.0,6071.0,618.0,0.0,1592.0,279.0
2017-05-24,122.0,91.0,323.0,262.0,66.0,0.0,454.0
2017-05-25,160.0,243.0,4405.0,388.0,617.0,99.0,240.0
2017-05-26,99.0,163.0,1402.0,790.0,137.0,111.0,558.0
2017-05-27,0.0,20.0,2018.0,211.0,210.0,60.0,288.0
2017-05-28,91.0,829.0,1230.0,227.0,0.0,56.0,342.0
2017-05-29,39.0,42.0,1905.0,719.0,293.0,496.0,649.0
2017-05-30,0.0,18.0,3419.0,279.0,120.0,18.0,296.0
2017-05-31,290.0,114.0,3135.0,316.0,297.0,2294.0,310.0
2017-06-01,256.0,727.0,6694.0,407.0,1718.0,5077.0,229.0
2017-06-02,349.0,1758.0,4045.0,168.0,172.0,411.0,162.0
2017-06-03,126.0,24.0,32.0,669.0,390.0,214.0,297.0
2017-06-04,173.0,614.0,3708.0,307.0,802.0,0.0,27.0
2017-06-05,0.0,123.0,6176.0,600.0,223.0,0.0,136.0
2017-06-06,130.0,0.0,2546.0,67.0,0.0,78.0,378.0
2017-06-07,231.0,308.0,1937.0,1155.0,1.0,64.0,326.0
2017-06-08,135.0,0.0,850.0,813.0,0.0,169.0,75.0
2017-06-09,99.0,161.0,1517.0,693.0,189.0,912.0,226.0
2017-06-10,100.0,963.0,1558.0,1211.0,410.0,2253.0,57.0
2017-06-11,0.0,34.0,2022.0,289.0,7.0,3081.0,430.0
2017-06-12,272.0,570.0,0.0,107.0,181.0,1726.0,119.0
2017-06-13,38.0,29.0,0.0,437.0,1.0,131.0,406.0
2017-06-14,56.0,188.0,1359.0,0.0,309.0,405.0,203.0
2017-06-15,256.0,182.0,1109.0,313.0,906.0,25.0,268.0
2017-06-16,1520.0,980.0,4380.0,792.0,732.0,246.0,991.0
2017-06-17,67.0,727.0,2580.0,0.0,648.0,74.0,391.0
2017-06-18,0.0,32.0,0.0,766.0,467.0,30.0,144.0
2017-06-19,107.0,310.0,2644.0,395.0,489.0,335.0,204.0
2017-06-20,0.0,140.0,2326.0,403.0,95.0,741.0,513.0
2017-06-21,12.0,19.0,3326.0,670.0,14.0,518.0,198.0
2017-06-22,279.0,8.0,2758.0,505.0,741.0,2295.0,464.0
2017-06-23,69.0,29.0,1.0,467.0,0.0,644.0,589.0
2017-06-24,187.0,294.0,2878.0,30.0,94.0,149.0,182.0
2017-06-25,804.0,117.0,2144.0,1049.0,506.0,1229.0,105.0
2017-06-26,133.0,524.0,632.0,704.0,114.0,830.0,393.0
2017-06-27,252.0,68.0,3000.0,3023.0,1344.0,548.0,186.0
2017-06-28,608.0,121.0,5321.0,261.0,0.0,304.0,105.0
2017-06-29,176.0,954.0,10734.0,850.0,1082.0,1071.0,486.0
2017-06-30,237.0,99.0,10569.0,244.0,3936.0,1022.0,545.0
2017-07-01,46.0,780.0,0.0,160.0,168.0,1259.0,138.0
2017-07-02,25.0,284.0,1.0,462.0,288.0,137.0,140.0
2017-07-03,737.0,867.0,7373.0,352.0,217.0,284.0,636.0
2017-07-04,501.0,134.0,3174.0,1621.0,0.0,930.0,202.0
2017-07-05,265.0,19.0,3252.0,327.0,403.0,405.0,626.0
2017-07-06,1513.0,3495.0,4122.0,675.0,23.0,1487.0,179.0
2017-07-07,0.0,1198.0,6567.0,251.0,724.0,28.0,68.0
2017-07-08,0.0,30.0,2827.0,4332.0,383.0,1118.0,732.0
2017-07-09,0.0,346.0,203.0,0.0,77.0,445.0,90.0
2017-07-10,37.0,1077.0,4108.0,1186.0,0.0,329.0,923.0
2017-07-11,155.0,85.0,2046.0,677.0,0.0,229.0,677.0
2017-07-12,62.0,60.0,2066.0,418.0,348.0,240.0,525.0
2017-07-13,586.0,0.0,4795.0,641.0,47.0,607.0,121.0
2017-07-14,130.0,361.0,3645.0,518.0,76.0,475.0,616.0
2017-07-15,614.0,37.0,6491.0,351.0,0.0,342.0,187.0
2017-07-16,266.0,155.0,7022.0,1079.0,190.0,0.0,551.0
2017-07-17,763.0,638.0,6010.0,1367.0,215.0,713.0,2198.0
2017-07-18,205.0,619.0,4475.0,447.0,52.0,1053.0,1132.0
2017-07-19,154.0,200.0,645.0,1000.0,1058.0,1779.0,723.0
2017-07-20,350.0,2089.0,1362.0,517.0,0.0,42.0,213.0
2017-07-21,102.0,69.0,4803.0,439.0,833.0,1880.0,608.0
2017-07-22,0.0,195.0,3357.0,1024.0,318.0,575.0,234.0
2017-07-23,1.0,302.0,2212.0,988.0,0.0,0.0,88.0
2017-07-24,86.0,161.0,3042.0,1091.0,660.0,711.0,235.0
2017-07-25,218.0,115.0,4971.0,0.0,0.0,54.0,950.0
2017-07-26,0.0,1127.0,4385.0,1104.0,365.0,83.0,354.0
2017-07-27,80.0,1166.0,2851.0,237.0,1.0,542.0,279.0
2017-07-28,207.0,168.0,6028.0,0.0,0.0,0.0,485.0
2017-07-29,0.0,67.0,1020.0,1.0,59.0,0.0,200.0
2017-07-30,280.0,232.0,0.0,164.0,0.0,446.0,79.0
2017-07-31,0.0,650.0,2102.0,0.0,0.0,915.0,398.0
2017-08-01,166.0,566.0,565.0,722.0,498.0,193.0,151.0
2017-08-02,229.0,37.0,1564.0,905.0,673.0,460.0,605.0
2017-08-03,204.0,207.0,2749.0,1111.0,333.0,1008.0,331.0
2017-08-04,446.0,184.0,2130.0,233.0,0.0,775.0,332.0
2017-08-05,0.0,110.0,4163.0,0.0,507.0,708.0,237.0
2017-08-06,192.0,5.0,5165.0,2548.0,136.0,293.0,64.0
2017-08-07,179.0,337.0,8159.0,706.0,420.0,1401.0,554.0
2017-08-08,95.0,1755.0,1948.0,1434.0,248.0,819.0,609.0
2017-08-09,267.0,1.0,2918.0,2420.0,108.0,188.0,279.0
2017-08-10,177.0,878.0,2821.0,250.0,405.0,580.0,474.0
2017-08-11,524.0,225.0,0.0,1286.0,0.0,69.0,422.0
2017-08-12,193.0,308.0,1.0,1734.0,0.0,147.0,723.0
