date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-08-25,4,4,4,3,0,2,4
2017-08-26,2,4,2,4,1,1,2
2017-08-27,3,1,3,4,1,1,4
2017-08-28,5,4,5,4,3,2,4
2017-08-29,2,5,4,3,1,3,4
2017-08-30,5,3,12,2,1,3,7
2017-08-31,3,3,4,2,1,2,4
2017-09-01,3,3,5,2,1,3,4
2017-09-02,2,1,1,1,1,1,2
2017-09-03,8,4,9,9,2,3,6
2017-09-04,1,4,5,5,3,4,5
2017-09-05,5,4,6,1,1,3,4
2017-09-06,3,6,4,3,2,2,2
2017-09-07,5,4,5,4,1,2,5
2017-09-08,5,4,4,3,1,2,4
2017-09-09,9,3,2,3,1,2,5
2017-09-10,2,1,6,4,4,1,4
2017-09-11,6,4,6,4,1,1,5
2017-09-12,5,4,3,4,2,3,3
2017-09-13,7,4,4,4,1,2,5
2017-09-14,6,4,4,3,1,4,8
2017-09-15,3,3,4,6,1,4,5
2017-09-16,3,2,5,4,4,3,5
2017-09-17,7,2,4,3,7,1,11
2017-09-18,7,6,6,3,2,1,3
2017-09-19,7,3,6,4,2,3,3
